1,the,英[ðə;ði] 美[ðə;ði],"art. 这；那
adv. 更加（用于比较级，最高级前）",""
2,be,英[biː;bi] 美[biː;bi],"aux. 被（用于被动语态）；正，正在（用于进行时）
vt. 是； 有，存在； 做，成为； 发生
n. （Be）（缅）拜；（日）部（姓）；（朝）培；（中非）贝（人名）","第三人称单数 is
现在分词 being
过去式 was或were
过去分词 been"
3,of,英[ɒv;əv] 美[ʌv;əv],prep. 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当,""
4,to,英[tuː;tə] 美[tuː;tə],"prep. 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
adv. （门等）关上
n. （To）（汤霍特、丹）多（人名）",""
5,and,英[ænd;ənd] 美[ænd;ənd],"conj. 和，与；就；而且；但是；然后
n. （And）人名；（土、瑞典）安德",""
6,in,英[ɪn] 美[ɪn],"prep. 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
adv. 进入；在里头；到达；当选；涨潮；在屋里；在车站；收到；递交，送到；填写，着色；朝里，向中间；击球；（球）落在界内；（服装等）时髦
adj. 在里面的；时髦的；（用球）界内的
n. 执政者；门路",复数 ins
7,that,英[ðæt] 美[ðæt],"det. 那，那个；那种
pron. 那，那个；那，那种；（非正式）就那样
conj. ……可能是；由于；以至于；（表示目的）为了；（诗、文）真希望
adv. 那样，那么；（非正式）很，非常
n. （That）（越）塔特（人名）",复数 those
8,you,英[juː;jʊ] 美[juː;jʊ],"pron. 你；你们
n. （You）人名；（柬）尤；（东南亚国家华语）猷",复数 yous或you
9,it,英[ɪt] 美[ɪt],"pron. 它，这，那（指无生命的东西、动物、植物）；指已提到或将提及的事物、活动、经验、抽象观念等；在不分性别或情况不详时指代；作无人称动词的主语，表示天气、时日、距离、状态、温度等；用于替代通常出现在其后面的名词、短语或从句；用于强调其后的句子成分；用于指某人；用作直接宾语，几乎不具有或完全不具有任何含义；能力，素质
n. （捉迷藏等儿童游戏中的）捉人者，找人者；意大利苦艾酒，味美思酒
abbr. （IT）信息技术（information technology）",复数 its
10,for,英[fɔː(r);fə(r)] 美[fɔːr;fər],"prep. （表示对象、用途等）给，对；为了，以帮助；（表示感情所针对的人或事物）为，对；代表 （某团体或机构）；受雇于；意思是；支持，拥护；以（提及物）为目的（或功能）；（表示结果）因为，由于；为得到，为获取；以……为交换，以……为代价；就……而言；……后（更好、更快乐等）；（表示去向）往，向；（表示一段时间）达，计；（安排或预定）在……时；为 （某场合）；用于表示延伸的距离；对（某人）来说（困难、必需、愉快等）；是……的义务（或责任）；要不是；对应 （用于比较不同事物间的价值或品质）；想要；取（某人的）名；表名单或系列中的某些部分
conj. <文>因为，由于
abbr. 外国（foreign）；林业（forestry）
adv. 支持地",""
11,have,英[hæv;həv] 美[hæv;həv],"v. 拥有；有（想法、主意、观点等）；显示出，带有（性质、特征）；做，进行（活动）；携带；吃，喝，抽（烟）；患病，得病；得到，收到；经历，经受；担负（责任）；导致，产生（影响）；生，生育；包括；使保持，使处于；明白，懂得；抓住，紧握；与（某人）性交；组织，举办；<非正式>欺骗；让，叫，命令；（尤指短期在自己家中）照料，照看；（在家中）招待，款待；允许，容忍；<非正式>辩过，胜过；已经，曾经（与过去分词连用构成完成时）
n.  <非正式>有钱人（the haves）；<英，非正式>诈骗
【名】 （Have）（德）哈弗，（芬）哈韦（人名）","第三人称单数 has
现在分词 having
过去式 had
过去分词 had"
